\;who;text;Новый вариант;;;;;;;;;;;;;;;;;;;;;
375;ID_11_f_ROUND_1_SUICIDE_TEXT;Я понимаю, что это неправильно, но так надо, меня простят.;Я... я знаю, что поступаю плохо. Но кто-то должен сделать это. Я уверена: меня простят.;;;;;;;;;;;;;;;;;;;;;
376;ID_11_ROUND_1_GG_ANSWER_RESULT = next;Кто может простит такое?;Раз это плохо, может, тебе стоит слезть?;;;;;;;;;;;;;;;;;;;;;
377;ID_11_ROUND_1_GG_ANSWER_RESULT = next;Почему надо?;О ком ты говоришь? Кто тебя простит?;;;;;;;;;;;;;;;;;;;;;
378;ID_11_ROUND_1_GG_ANSWER_RESULT = next;Это точно не правильно!;Я даже не могу представить, по какой причине ты должна прыгнуть.;;;;;;;;;;;;;;;;;;;;;
379;ID_11_f_ROUND_2_SUICIDE_TEXT;Не дави, на меня пожалуйста, я прыгну и все.;Не дави на меня, прошу. Я должна... Я прыгну. Я покончу с этим.;;;;;;;;;;;;;;;;;;;;;
380;ID_11_ROUND_2_GG_ANSWER_RESULT = next;Но зачем?;С чем же ты хочешь покончить?;;;;;;;;;;;;;;;;;;;;;
381;ID_11_ROUND_2_GG_ANSWER_RESULT = next;Не делай этого.;Ты не должна этого делать.;;;;;;;;;;;;;;;;;;;;;
382;ID_11_ROUND_2_GG_ANSWER_RESULT = next;Давай это обсудим?;Давай успокоемся и просто поговорим. Что случилось?;;;;;;;;;;;;;;;;;;;;;
383;ID_11_f_ROUND_3_SUICIDE_TEXT;Мои друзья - грешники. Они не ведают что творят...Я должна умереть за их грехи...;Все мои друзья и знакомые - грешны. Их души запятнаны. Они не ведают, что творят. Но я готова взять на себя их ношу. Я готова умереть за их деяния...;;;;;;;;;;;;;;;;;;;;;
384;ID_11_ROUND_3_GG_ANSWER_RESULT = next;Это же грех!;Постой! Разве самоубийство - не грех?;;;;;;;;;;;;;;;;;;;;;
385;ID_11_ROUND_3_GG_ANSWER_RESULT = suicide;Возомнила себя спасителем?;Ну вот еще, придумала себе занятие. Ты что, возомнила себя спасителем?;;;;;;;;;;;;;;;;;;;;;
386;ID_11_ROUND_3_GG_ANSWER_RESULT = next;Но ты то тут причем?;Так почему именно ты должна умирать, если дело в них?;;;;;;;;;;;;;;;;;;;;;
387;ID_11_f_ROUND_3_SUICIDE_ON_DIE;За грехи!;Нет, но кто-то должен... Прощай.;;;;;;;;;;;;;;;;;;;;;
388;ID_11_f_ROUND_4_SUICIDE_TEXT;Я должна взять эту ношу. Мне будет даровано прощение....Я спасу их..;Я готова понести наказание. Так я спасу души друзей. Мне будет даровано прощение. ;;;;;;;;;;;;;;;;;;;;;
389;ID_11_ROUND_4_GG_ANSWER_RESULT = suicide;Я бы не хотел, чтобы за меня умирали.;Мне кажется, что они того не стоят.;;;;;;;;;;;;;;;;;;;;;
390;ID_11_ROUND_4_GG_ANSWER_RESULT = next;Они будут горевать о тебе!;Но твои друзья будут сильно горевать. Они же любят тебя.;;;;;;;;;;;;;;;;;;;;;
391;ID_11_ROUND_4_GG_ANSWER_RESULT = next;А если бога нет то что?;А что если на той стороне тебя ничего не ждет? Что тогда?;;;;;;;;;;;;;;;;;;;;;
392;ID_11_f_ROUND_4_SUICIDE_ON_DIE;Ты тоже грешен...;Значит, ты не поймешь. Ты тоже грешен...;;;;;;;;;;;;;;;;;;;;;
393;ID_11_f_ROUND_5_SUICIDE_TEXT;Нет нет нет нет, не сбивай меня, иначе их души пропали!;Нет, прошу, не мешай мне. Если я не сделаю этого, их души будут гореть в аду!;;;;;;;;;;;;;;;;;;;;;
394;ID_11_ROUND_5_GG_ANSWER_RESULT = suicide;Ты сама в это не веришь.;Ты сама-то хоть немного в это веришь?;;;;;;;;;;;;;;;;;;;;;
395;ID_11_ROUND_5_GG_ANSWER_RESULT = save;Подумай о своей душе лучше.;Подумай, что будет с твоей душой. Самоубийство не может быть ответом.;;;;;;;;;;;;;;;;;;;;;
396;ID_11_ROUND_5_GG_ANSWER_RESULT = save;Можем вместе направить их на путь истинный!;Может, тебе стоит сходить в церковь? Священник точно сможет тебе помочь.;;;;;;;;;;;;;;;;;;;;;
397;ID_11_f_ROUND_5_SUICIDE_ON_DIE;НЕ СОМНЕВАЙСЯ В МОЕЙ ВЕРЕ!!!!;Не смей сомневаться в моей вере! Я докажу тебе...;;;;;;;;;;;;;;;;;;;;;
398;ID_11_f_ROUND_5SUICIDE_ON_GO_HOME;Действительно...Может есть и другой путь?;Ты прав. Быть может, есть и другой путь? Спасибо...;;;;;;;;;;;;;;;;;;;;;
399;ID_12_f_y_ROUND_1_SUICIDE_TEXT;Я хочу умереть, я не могу так больше, я хочу умереть!;Отстань! Я хочу умереть. Я хочу умереть. Я прыгну!;;;;;;;;;;;;;;;;;;;;;
400;ID_12_ROUND_1_GG_ANSWER_RESULT = suicide;Чего?;Ты точно этого хочешь?;;;;;;;;;;;;;;;;;;;;;
401;ID_12_ROUND_1_GG_ANSWER_RESULT = next;Это не выход!;Подожди, не гони так. Давай просто поговорим.;;;;;;;;;;;;;;;;;;;;;
402;ID_12_ROUND_1_GG_ANSWER_RESULT = next;Не не не не постой!;Стой! Не спеши ты так.;;;;;;;;;;;;;;;;;;;;;
403;ID_12_f_y_ROUND_1_SUICIDE_ON_DIE;Хочу...;Да, я хочу...;;;;;;;;;;;;;;;;;;;;;
404;ID_12_f_y_ROUND_2_SUICIDE_TEXT;Я не буду прыгать.;Хорошо, я... я передумал. Я не буду прыгать.;;;;;;;;;;;;;;;;;;;;;
405;ID_12_ROUND_2_GG_ANSWER_RESULT = next;Тогда иди домой?;Фух, это было легко. ;;;;;;;;;;;;;;;;;;;;;
406;ID_12_ROUND_2_GG_ANSWER_RESULT = next;Эээ. Окей.;Отлично. Это правильное решение.;;;;;;;;;;;;;;;;;;;;;
407;ID_12_ROUND_2_GG_ANSWER_RESULT = next;Тебе помочь слезть?;Давай я помогу тебе слезть.;;;;;;;;;;;;;;;;;;;;;
408;ID_12_f_y_ROUND_3_SUICIDE_TEXT;ВСЕ Я НЕ МОГУ БОЛЬШЕ Я ПРЫГАЮ!;Все! Я больше не могу, я сейчас точно прыгну!;;;;;;;;;;;;;;;;;;;;;
409;ID_12_ROUND_3_GG_ANSWER_RESULT = next;Подожди!!;Подожди! Почему?!;;;;;;;;;;;;;;;;;;;;;
410;ID_12_ROUND_3_GG_ANSWER_RESULT = next;Стоп стоп стоп!!!!;Постой, ты же вроде передумала?;;;;;;;;;;;;;;;;;;;;;
411;ID_12_ROUND_3_GG_ANSWER_RESULT = suicide;Да что происходит?;Да что с тобой не так?!;;;;;;;;;;;;;;;;;;;;;
412;ID_12_f_y_ROUND_3_SUICIDE_ON_DIE;Спасибо;Я лечу!;;;;;;;;;;;;;;;;;;;;;
413;ID_12_f_y_ROUND_4_SUICIDE_TEXT;Я...Я не очень хочу умирать. Я не знаю, что на меня нашло...;Я... черт. Я не хочу умирать. Даже не знаю, как я здесь оказалась.;;;;;;;;;;;;;;;;;;;;;
414;ID_12_ROUND_4_GG_ANSWER_RESULT = suicide;Так ты слезешь все-таки?;Так может, ты хочешь оттуда слезть?;;;;;;;;;;;;;;;;;;;;;
415;ID_12_ROUND_4_GG_ANSWER_RESULT = next;Спускайся.;Давай я все же помогу тебе.;;;;;;;;;;;;;;;;;;;;;
416;ID_12_ROUND_4_GG_ANSWER_RESULT = next;Окей, теперь все хорошо?;Окей. Теперь-то точно все в порядке?;;;;;;;;;;;;;;;;;;;;;
417;ID_12_f_y_ROUND_4_SUICIDE_ON_DIE;Я запуталась...;Нет, я должна это сделать!;;;;;;;;;;;;;;;;;;;;;
418;ID_12_f_y_ROUND_5_SUICIDE_TEXT;ААААААААААААААААААААААААААААААА Я ХОЧУ УМЕРЕТЬ, ДАЙ МНЕ УМЕРЕТЬ!!!;Нет, я хочу умереть, хочу-у-у! Я сейчас прыгну, вот увидишь!;;;;;;;;;;;;;;;;;;;;;
419;ID_12_ROUND_5_GG_ANSWER_RESULT = suicide;Это шутка?;Какого хрена с тобой происходит?;;;;;;;;;;;;;;;;;;;;;
420;ID_12_ROUND_5_GG_ANSWER_RESULT = save;Слезай, и я позабучусь о тебе.;Стой, стой. Не спеши. Сделай глубокий вдох.;;;;;;;;;;;;;;;;;;;;;
421;ID_12_ROUND_5_GG_ANSWER_RESULT = save;ДА ЧТО ПРОИСХОДИТ?!;Я ничего не понимаю, что здесь творится?;;;;;;;;;;;;;;;;;;;;;
422;ID_12_f_y_ROUND_5_SUICIDE_ON_DIE;ААААААААААААААААААААААААААААААА;Точно, я прыгаю!;;;;;;;;;;;;;;;;;;;;;
423;ID_12_f_y_ROUND_5SUICIDE_ON_GO_HOME;Я пойду наверное.;Блин, пойду-ка я отсюда, пожалуй.;;;;;;;;;;;;;;;;;;;;;
424;ID_41_m_o_ROUND_1_SUICIDE_TEXT;ЭЭЭЭЭЭЭЭЭЭЭЭЭЭ.;Твою мать. Меня сейчас... сейчас... вырвет.;;;;;;;;;;;;;;;;;;;;;
425;ID_41_ROUND_1_GG_ANSWER_RESULT = next;Почему от тебя воняет?;Черт, чувак, почему от тебя так несет?;;;;;;;;;;;;;;;;;;;;;
426;ID_41_ROUND_1_GG_ANSWER_RESULT = next;ЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭ.;Воу, давай-ка полегче. Слезай оттуда.;;;;;;;;;;;;;;;;;;;;;
427;ID_41_ROUND_1_GG_ANSWER_RESULT = next;Ты разговариваешь?;Так какого хрена ты забрался туда?;;;;;;;;;;;;;;;;;;;;;
428;ID_41_m_o_ROUND_2_SUICIDE_TEXT;Да ну нахуй эту жизнь на улице. Я простой бездомный дай мне сдохнуть. Или мелочи.;Слышь... это... а не пошел бы ты? Я прыгну, я отвечаю. У меня нихрена в этой жизни нет... ИК... Так что либо подкинь мелочишки, либо свали нафиг отсюда. ;;;;;;;;;;;;;;;;;;;;;
429;ID_41_ROUND_2_GG_ANSWER_RESULT = next;Я дам тебе мелочи, если ты свалишь.;Прости, мужик, но у меня нет денег.;;;;;;;;;;;;;;;;;;;;;
430;ID_41_ROUND_2_GG_ANSWER_RESULT = suicide;Мост еще мыть после тебя.;Господи, от этой вони у меня глаза слезяться. ;;;;;;;;;;;;;;;;;;;;;
431;ID_41_ROUND_2_GG_ANSWER_RESULT = next;Ну я тоже бездомный...;Эй, нам всем приходится нелегко.;;;;;;;;;;;;;;;;;;;;;
432;ID_41_m_o_ROUND_2_SUICIDE_ON_DIE;ЭЭЭЭЭЭЭЭЭЭЭЭЭЭ;Ну и хрен с тобой. Я полетел. ;;;;;;;;;;;;;;;;;;;;;
433;ID_41_m_o_ROUND_3_SUICIDE_TEXT;Все вы беленькие и богатенькие, плюете и смеетесь над такими как я. Мне противно от тебя!;Ага, всегда вот так. У вас есть дом, семьи там всякие, дети. Деньги, наконец. Вам плевать на таких, как я. Вы нас презираете. Катитесь вы все к черту!;;;;;;;;;;;;;;;;;;;;;
434;ID_41_ROUND_3_GG_ANSWER_RESULT = next;Так, слез быстро, пока я не вызвал полицию!;Слушай, лучше слезь, не то я полицию вызову.;;;;;;;;;;;;;;;;;;;;;
435;ID_41_ROUND_3_GG_ANSWER_RESULT = suicide;Потрепала тебя судьба.;Да, помотала тебя жизнь.;;;;;;;;;;;;;;;;;;;;;
436;ID_41_ROUND_3_GG_ANSWER_RESULT = next;Чего такой злой?;Хватит уже злиться. Слезай давай.;;;;;;;;;;;;;;;;;;;;;
437;ID_41_m_o_ROUND_3_SUICIDE_ON_DIE;ЭЭЭЭЭЭЭЭЭЭЭЭЭЭ;Больше я ей не дамся.;;;;;;;;;;;;;;;;;;;;;
438;ID_41_m_o_ROUND_4_SUICIDE_TEXT;Аргх. ЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭ.;Тьфу. А-а-а!;;;;;;;;;;;;;;;;;;;;;
439;ID_41_ROUND_4_GG_ANSWER_RESULT = next;Да хватит кричать.;Да прекрати ты уже орать!;;;;;;;;;;;;;;;;;;;;;
440;ID_41_ROUND_4_GG_ANSWER_RESULT = next;С тобой все нормально?;С тобой все нормально?;;;;;;;;;;;;;;;;;;;;;
441;ID_41_ROUND_4_GG_ANSWER_RESULT = suicide;Тебе стоит пойти домой...ну или куда-то.;Думаю, тебе пора вернуться домой. Ну или где ты там живешь...;;;;;;;;;;;;;;;;;;;;;
442;ID_41_m_o_ROUND_4_SUICIDE_ON_DIE;Я...Пошел...;Ага, уже иду.;;;;;;;;;;;;;;;;;;;;;
443;ID_41_m_o_ROUND_5_SUICIDE_TEXT;Оставь меня, вонючка..;Отвали сказал, чмо. ;;;;;;;;;;;;;;;;;;;;;
444;ID_41_ROUND_5_GG_ANSWER_RESULT = ;Может еще поживешь?;Слушай, вот все, что у меня есть, только свали отсюда.;;;;;;;;;;;;;;;;;;;;;
445;ID_41_ROUND_5_GG_ANSWER_RESULT = suicide;Так я вызываю копов.;Так, меня это достало. Я звоню копам.;;;;;;;;;;;;;;;;;;;;;
446;ID_41_ROUND_5_GG_ANSWER_RESULT = ;Я знаю где взять бесплатного бухла.;Если слезешь, я тебе скажу, где можно достать хорошего бухлишка.;;;;;;;;;;;;;;;;;;;;;
447;ID_41_m_o_ROUND_5_SUICIDE_ON_DIE;ЭЭЭЭЭ;Хрена с два я им дамся!;;;;;;;;;;;;;;;;;;;;;
448;ID_41_m_o_ROUND_5SUICIDE_ON_GO_HOME;Окей, я в деле.;Окей, по рукам.;;;;;;;;;;;;;;;;;;;;;
449;ID_13_m_y_ROUND_1_SUICIDE_TEXT;МЕНЯ ВСЕ БЕСИТ БЕСИТ БЕСИТ.;Господи, как же меня все это бесит. Бе-си-т!;;;;;;;;;;;;;;;;;;;;;
450;ID_13_ROUND_1_GG_ANSWER_RESULT = next;Я готов послушать об этом.;Воу, полегче, в чем дело?;;;;;;;;;;;;;;;;;;;;;
451;ID_13_ROUND_1_GG_ANSWER_RESULT = next;Согласен. Закрыли бы уже этот мост!;И не говори. Лучше б закрыли уже этот мост.;;;;;;;;;;;;;;;;;;;;;
452;ID_13_ROUND_1_GG_ANSWER_RESULT = next;Так зачем умирать то?;Что именно тебя бесит? ;;;;;;;;;;;;;;;;;;;;;
453;ID_13_m_y_ROUND_2_SUICIDE_TEXT;МЕНЯ РАЗРЫВАЕТ ОТ ЗЛОБЫ.;Меня просто разрывает от злобы! Каждый день одно и то же...;;;;;;;;;;;;;;;;;;;;;
454;ID_13_ROUND_2_GG_ANSWER_RESULT = next;Что могло тебя так сильно разозлить?;Что могло тебя так вывести из себя?;;;;;;;;;;;;;;;;;;;;;
455;ID_13_ROUND_2_GG_ANSWER_RESULT = next;Может зеленого чаю?;Есть много способов справиться со злобой. ;;;;;;;;;;;;;;;;;;;;;
